provider_id,holding_company,technology_code,technology_code_desc,unit_count_res,unit_count_bus
130002,"3 Rivers Telephone Cooperative, Inc.",10,Copper,25747,25747
130008,Ace Telephone Association,10,Copper,49521,49568
130011,"Adak Eagle Enterprises, LLC",50,Fiber to the Premises,203,26
130012,Adams Telephone Co-Operative,50,Fiber to the Premises,39184,39184
130017,Agate Mutual Telephone Cooperative Association,10,Copper,191,191
130018,"Agri-Valley Communications, Inc.",10,Copper,62655,52724
130019,"Air Advantage, LLC",50,Fiber to the Premises,52225,51366
130029,Alaska Power & Telephone Company,10,Copper,8460,1727
130030,"Covington Electric Cooperative, Inc.",50,Fiber to the Premises,26636,26636
130031,Albany Mutual Telephone Association,50,Fiber to the Premises,6437,6437
130032,"Albion Telephone Company, Inc.",10,Copper,7783,7783
130034,"Alenco Communications, Inc.",10,Copper,42647,42647
130035,Algona Municipal Utilities,40,Cable,2889,678
130036,"Alhambra-Grantfork Communications, Inc.",40,Cable,3685,3685
130037,"All West Communications, Inc.",10,Copper,73604,73604
130039,"Allen's TV Cable Service, Inc.",40,Cable,31816,31816
130040,"Alliance Communications Cooperative, Inc.",50,Fiber to the Premises,26282,26282
130043,Alma Communications Company,50,Fiber to the Premises,759,759
130044,"Alma Telecom, Inc.",40,Cable,24232,24232
130045,"Alpine Communications, LLC",10,Copper,20572,20572
130046,Alta Municipal Utilities,40,Cable,861,152
130057,"Amery Telcom, Inc.",40,Cable,22716,22716
130058,Amherst Telephone Company,10,Copper,19200,19200
130059,"Amplex Electric, Inc.",10,Copper,175550,175550
130065,Arapahoe Telephone Company,10,Copper,46229,46229
130067,"Arctic Slope Telephone Association Cooperative, Inc.",10,Copper,2223,812
130068,West Kentucky Rural Telephone Cooperative Corp. Inc.,10,Copper,77853,77853
130069,"Arkansas Telephone Company, Inc.",10,Copper,8638,1536
130070,"Spectracomm, Inc.",50,Fiber to the Premises,6133,6133
130071,"Armstrong Holdings, Inc.",10,Copper,569601,572064
130073,Arthur Mutual Telephone Company,50,Fiber to the Premises,2902,2902
130074,"Arvig Enterprises, Inc.",10,Copper,256999,256999
130077,AT&T Inc.,10,Copper,115007046,83627721
130079,"Radiate Holdings, LP",10,Copper,5520191,5520191
130081,"ATN International, Inc.",10,Copper,898461,157739
130082,Atlantic Telephone Membership Corporation,40,Cable,139623,139623
130083,"Atlas Telephone Company, Inc.",10,Copper,871,232
130084,"Atwood Cable Systems, Inc.",40,Cable,900,900
130087,Ayersville Telephone Company,10,Copper,2180,199
130090,"Baca Valley Telephone Company, Inc.",10,Copper,6146,6146
130092,"Baldwin Nashville Telephone Company, Inc.",50,Fiber to the Premises,480,480
130093,"Baldwin Telecom, Inc.",50,Fiber to the Premises,14854,15160
130094,"Ballard Rural Telephone Cooperative Corporation, Inc.",50,Fiber to the Premises,7308,7308
130095,Baraga Telephone Company Inc.,10,Copper,35009,35009
130096,Barnes City Cooperative Telephone Company,10,Copper,233,233
130097,Barry County Services Company,10,Copper,25475,16881
130098,Bascom Mutual Telephone Company,50,Fiber to the Premises,41750,41750
130103,"Beamspeed, LLC",40,Cable,159245,159245
130104,Beaver Creek Cooperative Telephone Company,10,Copper,21170,21170
130105,"Bee Creek Communications, Inc.",70,Unlicensed Fixed Wireless,74619,74619
130106,Beehive Telephone Companies,10,Copper,214198,214198
130107,"Beggs Telephone Company, Inc.",10,Copper,2013,521
130108,BEK Communications Cooperative,50,Fiber to the Premises,22218,22218
130112,"Ben Lomand Rural Telephone Coop., Inc.",10,Copper,68693,13726
130114,BW Telcom,50,Fiber to the Premises,2278,2278
130115,Benton Cooperative Telephone Company,10,Copper,12440,12440
130116,Benton Ridge Telephone Company,50,Fiber to the Premises,1250570,1250570
130118,Beresford Municipal Telephone Company,50,Fiber to the Premises,1351,1351
130119,Bergen Telephone Company,50,Fiber to the Premises,251,251
130120,"Bernard Telephone Company, Inc.",50,Fiber to the Premises,5745,5745
130122,Biddeford Internet Corporation,10,Copper,1239,4206
130123,"Nevill Holdings, Inc.",10,Copper,52429,52429
130124,"Big River Telephone, LLC",50,Fiber to the Premises,130506,22828
130126,Bijou Telephone Cooperative Association Inc.,10,Copper,3555,3555
130130,Bixby Telephone Company,10,Copper,26032,7716
130132,"Blackfoot Telephone Cooperative, Inc.",10,Copper,71047,71047
130133,Blanca Telephone Company/Jade Communications LLC,50,Fiber to the Premises,25033,25033
130134,"Blanchard Telephone Association, Inc.",10,Copper,1964,1964
130136,Bledsoe Telephone Cooperative Inc.,10,Copper,29628,29628
130137,"Block Communications, Inc.",10,Copper,520552,527881
130138,Bloomer Telephone Company,50,Fiber to the Premises,7692,7692
130139,Bloomingdale Home Telephone Company,10,Copper,2367,640
130140,"Bloomingdale Telephone Company, Inc.",50,Fiber to the Premises,10597,10597
130141,"Blossom Telephone Co., Inc.",10,Copper,2660,2660
130142,Rural Communications Holding Corporation,10,Copper,33011,33011
130144,"Blue Valley Tele-Communications, Inc.",40,Cable,10538,10538
130148,Colonial Telephone Company,10,Copper,1645,1645
130150,Brandenburg Communications Corp.,10,Copper,68592,68592
130151,"Strickland Communications, Inc.",50,Fiber to the Premises,12449,12449
130152,Brazoria Telephone Company,10,Copper,14816,14816
130153,"Brazos Telephone Cooperative, Inc.",10,Copper,10742,10742
130154,Breda Telephone Corp.,50,Fiber to the Premises,23192,23192
130160,Bristol Bay Telephone Cooperative,10,Copper,1348,1348
130161,Broadband Corp.,50,Fiber to the Premises,32116,32116
130169,Brooklyn Mutual Telecommunications Cooperative,10,Copper,1612,90
130170,"Bruce Telephone Company, Inc.",10,Copper,2581,2581
130171,Bryan Family Inc.,10,Copper,136,136
130176,"Bulloch County Rural Telephone Cooperative, Inc.",50,Fiber to the Premises,22400,22400
130178,"Burke's Garden Telephone Co., Inc.",50,Fiber to the Premises,243,243
130179,Butler-Bremer Mutual Telephone Company,50,Fiber to the Premises,10237,10237
130183,"Cable One, Inc.",10,Copper,4322642,3304437
130184,"Cable Services, Inc.",40,Cable,12485,12485
130189,Calaveras Communications Company,10,Copper,6119,6119
130192,"Cambridge TelCom, Inc.",10,Copper,9027,9027
130193,"Cambridge Telephone Company, Inc.",10,Copper,5963,1861
130195,Canadian Valley Telephone Company,10,Copper,2011,2011
130196,Canby Telephone Association,10,Copper,13001,13001
130199,"Cap Rock Telephone Cooperative, Inc.",50,Fiber to the Premises,8094,8094
130201,Carnegie Telephone Company,10,Copper,9478,9478
130203,"Carr Communications, Inc.",10,Copper,3933,3933
130204,Cascade Communications Company,50,Fiber to the Premises,4496,4496
130206,Day Management Corporation,10,Copper,45644,45644
130207,Casey Mutual Telephone Company,10,Copper,795,795
130208,"Cass Communications Management, Inc.",40,Cable,56440,56787
130210,Castleberry Communications,10,Copper,1311,1311
130218,Cedar Falls Municipal Communications Utility,50,Fiber to the Premises,19930,19930
130223,"Center Junction Telephone Company, Inc.",50,Fiber to the Premises,186,186
130224,"Central Arkansas Telephone Cooperative, Inc.",50,Fiber to the Premises,5721,5721
130226,"Central Oklahoma Telephone Co., LLC",10,Copper,6444,6444
130227,"Central Texas Telephone Cooperative, Inc.",10,Copper,14559,14559
130228,"Lumen Technologies, Inc.",10,Copper,18043736,18043676
130233,Chapin Communications Corporation,10,Copper,8792,8792
130234,Chariton Valley Telephone Corporation,50,Fiber to the Premises,30577,8018
130235,Charter Communications,40,Cable,50068448,11471652
130238,Chazy & Westport Telephone Corp.,10,Copper,4283,4283
130239,"Chequamegon Communications Cooperative, Inc.",10,Copper,27092,7698
130240,Cherokee Telephone Company,10,Copper,7889,7889
130242,"TruVista Communications, Inc.",10,Copper,84173,20992
130243,Cheyenne River Sioux Tribe Telephone Authority,50,Fiber to the Premises,3737,3737
130244,"Chibardun Telephone Cooperative, Inc.",10,Copper,27014,27014
130245,Chickasaw Holding Company,10,Copper,31777,30683
130250,Christensen Communications Company,10,Copper,4726,4726
130252,"Churchill County, State of Nevada",10,Copper,14187,14187
130254,Cincinnati Bell Inc.,10,Copper,1722868,1594673
130258,Frontier Communications Corporation,10,Copper,10058590,1315926
130259,Citizens Mutual Telephone Cooperative,50,Fiber to the Premises,10199,10199
130263,Green Hills Telephone Corporation,10,Copper,20836,20836
130264,Citizens Telephone Company of Kecksburg,50,Fiber to the Premises,14720,14720
130265,Citizens Mutual Telephone Cooperative (GA),10,Copper,7586,7586
130266,Citizens Telephone Cooperative (VA),10,Copper,25273,25604
130267,"Citizens Telephone Cooperative, Inc. (WI)",50,Fiber to the Premises,9744,9744
130268,Citizens Telephone Corporation,50,Fiber to the Premises,5821,5821
130269,"Citizens Telephone Company of Hammond NY, Inc.",10,Copper,9519,9510
130270,City of Barnesville Municipal Telephone,50,Fiber to the Premises,1317,1317
130271,City of Brookings Telephone Fund,10,Copper,12377,12377
130274,City of Faith Municipal Telephone Company,50,Fiber to the Premises,226,105
130275,City of Ketchikan,10,Copper,15646,15646
130279,City of Scottsburg,50,Fiber to the Premises,14434,14410
130282,City of Wadsworth,40,Cable,12434,12585
130283,City of Windom,50,Fiber to the Premises,2655,2655
130285,"Clarence Telephone Company, Inc.",50,Fiber to the Premises,2549,2549
130287,Clarksville Mutual Telephone Company,50,Fiber to the Premises,324,324
130288,"Clay County Rural Telephone Cooperative, Inc.",50,Fiber to the Premises,31468,31468
130289,Clear Creek Mutual Telephone Company,10,Copper,4012,4012
130290,Clear Lake Independent Telephone Company,50,Fiber to the Premises,9017,9017
130291,"Clear Lake Telephone Company, Inc.",50,Fiber to the Premises,3818,4034
130292,"Clear Rate Communications, LLC",10,Copper,0,339949
130302,C-M-L Telephone Cooperative Association,50,Fiber to the Premises,1847,1847
130303,Coast Communications Co. Inc.,40,Cable,7789,7790
130305,Cochrane Cooperative Telephone Company,50,Fiber to the Premises,3018,761
130307,"Coleman County Telephone Cooperative, Inc.",10,Copper,15301,15301
130309,COLI Inc.,50,Fiber to the Premises,51406,51406
130310,Colo Telephone Company,50,Fiber to the Premises,1855,1855
130311,"Colorado Valley Telephone Cooperative, Inc.",10,Copper,34440,34440
130312,Colton Telephone Company,50,Fiber to the Premises,1160,121
130314,Columbus Telephone Company,50,Fiber to the Premises,6473,6473
130315,TOTE Holdings LLC,10,Copper,31475,31475
130316,"Combined Technologies, Inc.",70,Unlicensed Fixed Wireless,195,75
130317,Comcast Corporation,40,Cable,58289409,58832812
130321,"Communications 1 Network, Inc.",50,Fiber to the Premises,11701,11701
130322,"Community Antenna Service, Inc.",40,Cable,35682,3003
130325,Community Internet Service,70,Unlicensed Fixed Wireless,1141,0
130327,"Community Telephone Co., Inc.",50,Fiber to the Premises,41802,41802
130331,"Computer Sales & Services, Inc.",70,Unlicensed Fixed Wireless,4,50
130335,"Consolidated Communications, Inc.",0,Other,2106168,229770
130337,Consolidated Telcom,40,Cable,29624,29624
130338,Consolidated Telephone Company,10,Copper,45651,45651
130340,Conway Corporation,40,Cable,31852,31852
130344,"Coon Valley Cooperative Telephone Association, Inc.",50,Fiber to the Premises,3271,3271
130345,Coon Valley Farmers Telephone Company,50,Fiber to the Premises,4839,4839
130346,Cooperative Telephone Company,50,Fiber to the Premises,3193,3193
130347,Cooperative Telephone Exchange,50,Fiber to the Premises,801,801
130349,Copper Valley Telephone Cooperative,10,Copper,7529,7529
130352,"Cordova Telephone Cooperative, Inc.",10,Copper,1258,1258
130353,Corn Belt Telephone Company,50,Fiber to the Premises,4084,4084
130360,"Cox Communications, Inc.",10,Copper,9957305,2258653
130361,Cozad Telephone Company,10,Copper,3044,3044
130362,"CP-Tel Holdings, Inc.",10,Copper,12593,4146
130363,"Craigville Telephone Company, Inc.",10,Copper,6782,6748
130364,Craw-Kan Telephone Cooperative Inc.,10,Copper,41276,41276
130368,"Crossville Consolidated Communications, Inc.",10,Copper,658,658
130369,Crown Point Telephone Corporation,10,Copper,2616,742
130370,Altice USA,40,Cable,11974276,13923536
130374,Cumberland Telephone Company,50,Fiber to the Premises,1327,1327
130375,"Cumby Telephone Cooperative, Inc.",10,Copper,9616,10816
130378,Custer Telephone Cooperative Inc.,10,Copper,4856,799
130380,Grayson Collin Electric Cooperative,10,Copper,19444,19444
130385,"D & P Communications, Inc.",10,Copper,27599,6583
130386,"D D & B, Inc.",10,Copper,15922,15922
130387,Dakota Central Telecommunications Cooperative,50,Fiber to the Premises,17163,17163
130390,Danville Mutual Telephone Company,50,Fiber to the Premises,1802,1802
130391,"Darien Telephone Company, Inc.",40,Cable,7685,7685
130393,Daviess-Martin County Rural Telephone Corporation,10,Copper,19759,19759
130395,"Decatur Holding Company, Inc.",10,Copper,3302,2917
130396,"DeKalb Telephone Cooperative, Inc.",10,Copper,32721,33361
130398,Delcambre Telephone Co.,50,Fiber to the Premises,2163,2163
130399,Delhi Telephone Company,10,Copper,14542,14542
130400,"Dell Telephone Cooperative, Inc.",10,Copper,23299,23299
130403,"T-Mobile USA, Inc.",50,Fiber to the Premises,109023195,117360810
130405,Dickey Rural Telephone Cooperative,50,Fiber to the Premises,20576,20576
130416,Doylestown Telephone Company,10,Copper,14509,14509
130419,Dumont Telephone Company,50,Fiber to the Premises,3964,3964
130420,"Dunbarton Telephone Company, Inc.",50,Fiber to the Premises,1532,1532
130421,Dunkerton Telephone Cooperative,50,Fiber to the Premises,953,953
130423,Duo County Telephone Cooperative Inc.,10,Copper,29978,30761
130425,"Dobson Technologies, Inc.",10,Copper,221309,221309
130427,"E. Ritter Communications Holdings, Inc.",10,Copper,189150,314774
130431,"Eagle Telephone Systems, Inc.",10,Copper,441,441
130432,EATEL Corp.,40,Cable,119468,119468
130433,East Buchanan Telephone Cooperative,50,Fiber to the Premises,2638,2638
130437,"Eastern Indiana WIFI, Inc.",50,Fiber to the Premises,9694,9661
130439,"Eastern Slope Rural Telephone Association, Inc.",10,Copper,7718,7718
130440,"Eastex Telephone Cooperative, Inc.",10,Copper,50675,50675
130444,Egyptian Telephone Cooperative Association,10,Copper,2801,962
130445,Electric and Water Plant Board of the City of Frankfort,40,Cable,53167,53167
130446,"Electric Plant Board of the City of Glasgow, KY",40,Cable,9138,9138
130449,Ellington Telephone Company,10,Copper,2220,2220
130450,Ellsworth Cooperative Telephone Association,50,Fiber to the Premises,839,839
130453,Emery Telcom,40,Cable,33866,33866
130454,Emily Cooperative Telephone Company,50,Fiber to the Premises,5905,5905
130455,Empire Telephone Corporation/North Penn Telephone Company,10,Copper,197359,13070
130458,"ENMR Telephone Cooperative, Inc.",10,Copper,156486,156486
130460,Epic Touch Company,50,Fiber to the Premises,1295,1295
130464,"Etex Telephone Cooperative, Inc.",10,Copper,43581,43581
130473,"F&B Communications, Inc.",50,Fiber to the Premises,3107,3107
130475,Farmers Cooperative Telephone Company-Dysart,10,Copper,1449,1449
130476,Farmers Independent Telephone Company,10,Copper,5506,5506
130477,Farmers Mutual Cooperative Telephone Company-Harlan,50,Fiber to the Premises,4043,4043
130478,Farmers Mutual Cooperative Telephone Company-Moulton,50,Fiber to the Premises,2499,2499
130479,Farmers Mutual Telephone Company (ID),10,Copper,11757,11757
130481,Farmers Mutual Telephone Company (OH),50,Fiber to the Premises,39504,37687
130482,"Farmers Mutual Telephone Company of Stanton, Iowa",50,Fiber to the Premises,7722,7722
130483,Farmers Mutual Telephone Company-Jesup,10,Copper,2359,2359
130484,Farmers Mutual Telephone Company-Nora Springs,50,Fiber to the Premises,17247,17247
130485,Farmers Mutual Telephone Cooperative of Shellsburg,10,Copper,13238,13238
130487,"Farmers Telephone Company, Inc.",10,Copper,1612,1612
130488,Farmers Telephone Company-Batavia,50,Fiber to the Premises,698,698
130489,Farmers Telephone Company-Essex,50,Fiber to the Premises,10927,10927
130490,"Farmers Telephone Cooperative, Inc. (SC)",10,Copper,110743,110743
130491,Fayetteville Public Utilities,40,Cable,12509,2767
130492,FDF Communications Co.,10,Copper,58924,6991
130494,Farmers Mutual Telephone Company (MN),50,Fiber to the Premises,5296,5298
130495,Fenton Cooperative Telephone Company,50,Fiber to the Premises,320,77
130499,"First Communications, LLC",10,Copper,0,885
130500,"First Step Internet, LLC",50,Fiber to the Premises,82678,26975
130502,"Five Area Telephone Cooperative, Inc.",50,Fiber to the Premises,8502,8502
130503,"Flat Rock Telephone Co-Op, Inc.",50,Fiber to the Premises,1112,1112
130507,"Foothills Rural Telephone Cooperative Corporation, Inc.",50,Fiber to the Premises,31349,31349
130509,"Fort Mojave Telecommunications, Inc.",50,Fiber to the Premises,4158,4158
130511,Waldron Communication Company,10,Copper,725,725
130514,"Franklin Telephone Co., Inc.",10,Copper,2076,2076
130524,"Ganado Telephone Company, Inc.",10,Copper,8017,8017
130526,Garden Valley Telephone Company,10,Copper,26940,26940
130527,Gardonville Cooperative Telephone Association,10,Copper,8781,8059
130528,"Gargoyle Technologies, Inc.",50,Fiber to the Premises,18428,18428
130532,Geetingsville Telephone Company Inc.,10,Copper,3262,3262
130534,GCI Holdings LLC,10,Copper,278060,278060
130535,"Geneseo Communications, Inc.",10,Copper,66054,66054
130538,"Germantown Telephone Company, Inc.",50,Fiber to the Premises,5457,732
130539,Gervais Telephone Company,10,Copper,4821,4821
130540,GEUS,40,Cable,8956,2073
130542,"Gila River Telecommunications, Inc.",10,Copper,2875,2875
130543,"Glandorf Telephone Co., Inc.",50,Fiber to the Premises,2861,615
130544,Glasford Telephone Company,50,Fiber to the Premises,1476,1476
130545,Glenwood Telephone Company,10,Copper,3230,3230
130546,Glenwood Telephone Membership Corp.,50,Fiber to the Premises,40713,40713
130550,"Golden West Telecommunications Cooperative, Inc.",10,Copper,57263,57263
130551,"Golden Wheat, Inc.",50,Fiber to the Premises,3587,3587
130553,Gonthier Inc.,50,Fiber to the Premises,4485,928
130555,"Gorham Communications, Inc.",50,Fiber to the Premises,878,878
130557,"Grafton Communications, Inc.",10,Copper,8904,8904
130558,Granby Telephone Company,50,Fiber to the Premises,3705,3705
130559,Grand Mound Cooperative Telephone Association,50,Fiber to the Premises,12979,12979
130560,Grand River Mutual Telephone Corporation,10,Copper,28670,28670
130561,Grand Telephone Company,10,Copper,5429,5429
130563,Grandview Mutual Telephone Company,10,Copper,127,127
130565,Grauer Management Inc.,50,Fiber to the Premises,3089,3089
130569,"Great Plains Communications, Inc.",10,Copper,131037,131037
130574,Griswold Cooperative Telephone Company,50,Fiber to the Premises,2242,2242
130578,"Guadalupe Valley Telephone Cooperative, Inc.",10,Copper,145614,145614
130580,Gunnison Telephone Company,10,Copper,3928,870
130581,H&B Enterprises Inc.,50,Fiber to the Premises,5388,5394
130583,Halstad Telephone Company,50,Fiber to the Premises,5858,5858
130584,Hamilton County Telephone Co-Op,10,Copper,26058,26058
130586,Hancock Rural Telephone Corporation,10,Copper,38081,40011
130588,"Hardy Telecommunications, Inc.",10,Copper,19423,19423
130590,Harmony Telephone Company,50,Fiber to the Premises,9568,9568
130592,"Hartington Telecommunications Co., Inc.",50,Fiber to the Premises,2633,2633
130596,Hawkeye Telephone Company,50,Fiber to the Premises,5298,5298
130597,"Hayneville Holding Company, Inc.",10,Copper,13670,13670
130598,Heart of Iowa Communications Cooperative,50,Fiber to the Premises,9803,9803
130602,Hemingford Cooperative Telephone Company,50,Fiber to the Premises,3315,3315
130603,Henderson Cooperative Telephone Company,50,Fiber to the Premises,1021,1021
130604,"Henry County Communications, Inc.",10,Copper,4036,4036
130605,Hershey Cooperative Telephone Company,50,Fiber to the Premises,3968,3968
130606,"Hiawatha Broadband Communications, Inc.",40,Cable,103266,103266
130607,"Hiawatha Communications, Inc.",10,Copper,19141,19141
130609,"Hickory Utility Services, Inc.",50,Fiber to the Premises,7999,7999
130610,Highland Telephone Cooperative (VA),10,Copper,1465,1465
130612,"Hill Country Telephone Cooperative, Inc.",10,Copper,76702,74572
130613,"Hillsboro Telephone Company, Inc.",50,Fiber to the Premises,3829,3829
130614,Hinton Holding Company,10,Copper,26404,26404
130616,"Home Enterprises, Inc.",50,Fiber to the Premises,4353,4353
130617,"Home Telephone Company, Inc. (SC)",10,Copper,80207,80207
130619,The Chillicothe Telephone Co,10,Copper,55907,55907
130620,"Horry Telephone Cooperative, Inc.",10,Copper,234333,234333
130622,Hot Springs Telephone Company,10,Copper,2076,2076
130623,"Hotwire Communications, Ltd.",40,Cable,325018,164875
130624,HTC Holding Co.,10,Copper,31683,31683
130626,Hubbard Cooperative Telephone Association,50,Fiber to the Premises,917,917
130627,EchoStar Corporation,60,GSO Satellite,164142033,164142033
130630,Huxley Communications Cooperative,50,Fiber to the Premises,8762,1436
130631,"IAMO Communications, Inc.",50,Fiber to the Premises,3524,3524
130634,ICON Technologies Inc.,70,Unlicensed Fixed Wireless,93384,93384
130641,Independence Light and Power,40,Cable,3874,3874
130645,Industry Telephone Company,10,Copper,4236,4236
130647,"Info-Ed, Inc.",70,Unlicensed Fixed Wireless,86,86
130651,Western Elite Incorporated Services,10,Copper,6418,6431
130655,Gearheart Communications,40,Cable,42833,42833
130657,"InterBel Telephone Cooperative, Inc.",10,Copper,5622,3307
130662,"Interstate Telecommunications Cooperative, Inc.",50,Fiber to the Premises,29343,29343
130663,"Inventive Wireless of Nebraska, LLC",50,Fiber to the Premises,289046,289046
130667,Ironton Telephone Company,10,Copper,4223,522
130668,"Irvine Community Television, Inc.",40,Cable,9776,2138
130673,James Valley Cooperative Telephone Company,10,Copper,38500,38500
130674,"JED Enterprises, Inc.",10,Copper,1609,1609
130677,Jefferson Telephone Company,50,Fiber to the Premises,3516,3516
130678,Johnson Telephone Company,10,Copper,3291,3291
130679,"K & M Telephone Company, Inc.",10,Copper,821,821
130681,"Kalida Telephone Company, Inc.",50,Fiber to the Premises,1451,268
130682,Kalona Cooperative Telephone Company,50,Fiber to the Premises,23213,23213
130683,"KALTELCO, Inc.",10,Copper,3335,387
130684,"KanOkla Telephone Association, Inc.",10,Copper,152308,152308
130685,"Kaplan Telephone Company, Inc.",10,Copper,26378,26378
130686,Kasson & Mantorville Telephone Company,10,Copper,8767,8767
130690,"Atlas Connectivity, LLC",10,Copper,64109,10130
130691,"Kennebec Telephone Company, Inc.",50,Fiber to the Premises,961,961
130692,"Kentec Communications, Inc.",50,Fiber to the Premises,30457,30457
130693,Keystone Farmers Cooperative Telephone Company,50,Fiber to the Premises,1090,1090
130695,Killduff Telephone Company,50,Fiber to the Premises,162,36
130696,"Kinex Telecom, Inc.",50,Fiber to the Premises,13246,13246
130697,Kingdom Telephone Company,50,Fiber to the Premises,20820,20820
130699,Kinsman Mutual Telephone Co.,10,Copper,103,103
130705,Kraus Electronics Systems Inc.,40,Cable,9563,9563
130707,La Canada Wireless Association,70,Unlicensed Fixed Wireless,1413,1413
130708,La Jicarita Rural Telephone Cooperative,10,Copper,3854,3854
130709,La Motte Telephone Company,50,Fiber to the Premises,3151,3151
130710,"La Ward Telephone Exchange, Inc.",10,Copper,1591,1591
130711,"LaHarpe Telephone Company, Inc. (KS)",50,Fiber to the Premises,1414,151
130712,Lake Livingston Telephone Company,10,Copper,6023,6023
130714,"Lakeland Communications, Inc.",40,Cable,12582,12582
130718,"Larson Utilities, Inc.",10,Copper,2397,2397
130721,"Laurel Highland Total Communications, Inc.",10,Copper,15454,15454
130724,Laurens Municipal Communications Utility,50,Fiber to the Premises,697,227
130726,"LaValle Telephone Cooperative, Inc.",50,Fiber to the Premises,4498,1592
130728,"Leaco Rural Telephone Cooperative, Inc.",10,Copper,32970,32970
130732,Lehigh Valley Cooperative Telephone Association,50,Fiber to the Premises,3449,3449
130733,Lemonweir Valley Telephone Company,50,Fiber to the Premises,15251,15251
130734,Lennon Telephone Company,10,Copper,4903,1054
130735,"Leonore Mutual Telephone Co., Inc.",10,Copper,228,228
130736,STEL-CO,10,Copper,2072,471
130741,Liberty Latin America Ltd.,40,Cable,1474039,1474039
130742,"Ligonier Telephone Co., Inc.",50,Fiber to the Premises,20658,20658
130743,"Lincoln Communications, Inc.",10,Copper,4107,4107
130744,"Lincoln Telephone Company, Inc.",10,Copper,1561,1561
130745,Lincolnville Telephone Company,10,Copper,20167,20167
130746,"Lintel, Inc.",10,Copper,17548,17548
130747,Lipan Telecommunications Inc.,10,Copper,3511,3511
130748,Lismore Cooperative Telephone Company,50,Fiber to the Premises,5728,5728
130754,"Logan Telephone Cooperative, Inc.",10,Copper,9650,9650
130755,"Logix Communications, LP",0,Other,0,14001
130756,Lone Rock Cooperative Telephone Company,50,Fiber to the Premises,336,336
130757,Long Lines,10,Copper,29367,4507
130759,Lost Nation-Elwood Telephone Company,50,Fiber to the Premises,1221,1221
130766,Lynnville Telephone Company,50,Fiber to the Premises,475,82
130767,Mabel Cooperative Telephone Company,50,Fiber to the Premises,2212,2212
130768,MADCO Holding Company,50,Fiber to the Premises,5290,5290
130769,"Schwartz Ventures, Inc.",10,Copper,20435,20435
130771,"Madison Telephone, LLC",50,Fiber to the Premises,7094,7094
130772,"Magazine Telephone Company, Inc.",10,Copper,1367,1367
130774,"Mahaska Communication Group, LLC",50,Fiber to the Premises,29218,29218
130777,Manchester-Hartland Telephone Company,50,Fiber to the Premises,634,634
130780,"Margaretville Telephone Company, Inc.",50,Fiber to the Premises,1842,1842
130781,Mark Twain Rural Telephone Company,10,Copper,49076,49076
130782,Marne & Elk Horn Telephone Company,50,Fiber to the Premises,6614,6614
130783,"Marquette-Adams Telephone Cooperative, Inc.",50,Fiber to the Premises,15968,15968
130784,"Martell Enterprises, Inc.",10,Copper,9827,9828
130785,Martelle Cooperative Telephone Association,10,Copper,1207,1205
130786,Mashell Inc.,10,Copper,116914,21562
130787,Massena Telephone Company,50,Fiber to the Premises,1239,1034
130788,"Massillon Cable TV, Inc.",40,Cable,105039,105437
130791,"Matanuska Telecom Association, Inc.",10,Copper,76613,12691
130794,"NBVDS Investment, LLC",10,Copper,71026,71026
130795,Court Square Capital Partners,10,Copper,79620,80617
130796,McClure Telephone Company,50,Fiber to the Premises,2713,2713
130797,"TrioTel Communications, Inc.",50,Fiber to the Premises,3683,3683
130798,McDonald County Telephone Company,10,Copper,3922,3923
130799,McDonough Telephone Cooperative Inc.,50,Fiber to the Premises,17676,8936
130802,"McNabb Communications, Inc.",50,Fiber to the Premises,631,631
130803,Mechanicsville Telephone Company,50,Fiber to the Premises,1995,1995
130804,Mediacom Communications Corp.,40,Cable,3452412,3452412
130805,MTC Technologies,50,Fiber to the Premises,3377,3377
130810,"Mescalero Apache Telecom, Inc.",50,Fiber to the Premises,1951,1951
130814,"MGW Communications, Inc.",10,Copper,33037,33037
