holding_company,unit_count_res,unit_count_bus
"Big River Telephone, LLC",20060,2670
"Big River Telephone, LLC",110446,20158
Bijou Telephone Cooperative Association Inc.,38,38
Bijou Telephone Cooperative Association Inc.,2038,2038
Bijou Telephone Cooperative Association Inc.,1479,1479
Bixby Telephone Company,8954,886
Bixby Telephone Company,17078,6830
"Blackfoot Telephone Cooperative, Inc.",35042,35042
"Blackfoot Telephone Cooperative, Inc.",34475,34475
"Blackfoot Telephone Cooperative, Inc.",1303,1303
"Blackfoot Telephone Cooperative, Inc.",227,227
Blanca Telephone Company/Jade Communications LLC,11345,11345
Blanca Telephone Company/Jade Communications LLC,5033,5033
Blanca Telephone Company/Jade Communications LLC,8368,8368
Blanca Telephone Company/Jade Communications LLC,287,287
"Blanchard Telephone Association, Inc.",1673,1673
"Blanchard Telephone Association, Inc.",291,291
Bledsoe Telephone Cooperative Inc.,15017,15017
Bledsoe Telephone Cooperative Inc.,14611,14611
"Block Communications, Inc.",2,2
"Block Communications, Inc.",316332,316331
"Block Communications, Inc.",204218,211548
Bloomer Telephone Company,7692,7692
Bloomingdale Home Telephone Company,356,113
Bloomingdale Home Telephone Company,2011,527
"Bloomingdale Telephone Company, Inc.",10597,10597
"Blossom Telephone Co., Inc.",545,545
"Blossom Telephone Co., Inc.",2115,2115
Rural Communications Holding Corporation,3027,3027
Rural Communications Holding Corporation,29984,29984
"Blue Valley Tele-Communications, Inc.",1879,1879
"Blue Valley Tele-Communications, Inc.",8376,8376
"Blue Valley Tele-Communications, Inc.",283,283
Colonial Telephone Company,1645,1645
Brandenburg Communications Corp.,1510,1510
Brandenburg Communications Corp.,67082,67082
"Strickland Communications, Inc.",12449,12449
Brazoria Telephone Company,1663,1663
Brazoria Telephone Company,6149,6149
Brazoria Telephone Company,7004,7004
"Brazos Telephone Cooperative, Inc.",196,196
"Brazos Telephone Cooperative, Inc.",10546,10546
Breda Telephone Corp.,23192,23192
Bristol Bay Telephone Cooperative,1348,1348
Broadband Corp.,12935,12935
Broadband Corp.,19181,19181
Brooklyn Mutual Telecommunications Cooperative,540,3
Brooklyn Mutual Telecommunications Cooperative,1072,87
"Bruce Telephone Company, Inc.",749,749
"Bruce Telephone Company, Inc.",1832,1832
Bryan Family Inc.,53,53
Bryan Family Inc.,83,83
"Bulloch County Rural Telephone Cooperative, Inc.",22400,22400
"Burke's Garden Telephone Co., Inc.",243,243
Butler-Bremer Mutual Telephone Company,10237,10237
"Cable One, Inc.",84973,84973
"Cable One, Inc.",2676051,2676051
"Cable One, Inc.",1554892,536687
"Cable One, Inc.",6726,6726
"Cable Services, Inc.",12485,12485
Calaveras Communications Company,3056,3056
Calaveras Communications Company,2304,2304
Calaveras Communications Company,759,759
"Cambridge TelCom, Inc.",1870,1870
"Cambridge TelCom, Inc.",5675,5675
"Cambridge TelCom, Inc.",1482,1482
"Cambridge Telephone Company, Inc.",1141,233
"Cambridge Telephone Company, Inc.",1446,314
"Cambridge Telephone Company, Inc.",3319,1305
"Cambridge Telephone Company, Inc.",4,4
"Cambridge Telephone Company, Inc.",53,5
Canadian Valley Telephone Company,1989,1989
Canadian Valley Telephone Company,22,22
Canby Telephone Association,890,890
Canby Telephone Association,12111,12111
"Cap Rock Telephone Cooperative, Inc.",8094,8094
Carnegie Telephone Company,1824,1824
Carnegie Telephone Company,3068,3068
Carnegie Telephone Company,126,126
Carnegie Telephone Company,4460,4460
"Carr Communications, Inc.",3698,3698
"Carr Communications, Inc.",235,235
Cascade Communications Company,4496,4496
Day Management Corporation,18857,18857
Day Management Corporation,26787,26787
Casey Mutual Telephone Company,140,140
Casey Mutual Telephone Company,655,655
"Cass Communications Management, Inc.",9406,9406
"Cass Communications Management, Inc.",34099,34446
"Cass Communications Management, Inc.",3453,3453
"Cass Communications Management, Inc.",9482,9482
Castleberry Communications,1311,1311
Cedar Falls Municipal Communications Utility,19930,19930
"Center Junction Telephone Company, Inc.",186,186
"Central Arkansas Telephone Cooperative, Inc.",5721,5721
"Central Oklahoma Telephone Co., LLC",2459,2459
"Central Oklahoma Telephone Co., LLC",3985,3985
"Central Texas Telephone Cooperative, Inc.",947,947
"Central Texas Telephone Cooperative, Inc.",13612,13612
"Lumen Technologies, Inc.",14155647,14155589
"Lumen Technologies, Inc.",3888089,3888087
Chapin Communications Corporation,5457,5457
Chapin Communications Corporation,3335,3335
Chariton Valley Telephone Corporation,30577,8018
Charter Communications,47934451,9148212
Charter Communications,2133997,2323440
Chazy & Westport Telephone Corp.,195,195
Chazy & Westport Telephone Corp.,4088,4088
"Chequamegon Communications Cooperative, Inc.",3123,1609
"Chequamegon Communications Cooperative, Inc.",23969,6089
Cherokee Telephone Company,7045,7045
Cherokee Telephone Company,844,844
"TruVista Communications, Inc.",5159,1188
"TruVista Communications, Inc.",39843,10876
"TruVista Communications, Inc.",39171,8928
Cheyenne River Sioux Tribe Telephone Authority,3737,3737
"Chibardun Telephone Cooperative, Inc.",7018,7018
"Chibardun Telephone Cooperative, Inc.",19996,19996
Chickasaw Holding Company,25958,24864
Chickasaw Holding Company,5819,5819
Christensen Communications Company,325,325
Christensen Communications Company,1717,1717
Christensen Communications Company,2684,2684
"Churchill County, State of Nevada",868,868
"Churchill County, State of Nevada",13319,13319
Cincinnati Bell Inc.,359062,359062
Cincinnati Bell Inc.,1005,0
Cincinnati Bell Inc.,1216391,1215995
Cincinnati Bell Inc.,75,108
Cincinnati Bell Inc.,9692,1199
Cincinnati Bell Inc.,136643,18309
Frontier Communications Corporation,3012221,742057
Frontier Communications Corporation,7046369,573869
Citizens Mutual Telephone Cooperative,10199,10199
Green Hills Telephone Corporation,5620,5620
Green Hills Telephone Corporation,6486,6486
Green Hills Telephone Corporation,8496,8496
Green Hills Telephone Corporation,234,234
Citizens Telephone Company of Kecksburg,14720,14720
Citizens Mutual Telephone Cooperative (GA),2309,2309
Citizens Mutual Telephone Cooperative (GA),1533,1533
Citizens Mutual Telephone Cooperative (GA),3744,3744
Citizens Telephone Cooperative (VA),9329,9329
Citizens Telephone Cooperative (VA),4485,4486
Citizens Telephone Cooperative (VA),11459,11789
"Citizens Telephone Cooperative, Inc. (WI)",9744,9744
Citizens Telephone Corporation,3640,3640
Citizens Telephone Corporation,2181,2181
"Citizens Telephone Company of Hammond NY, Inc.",951,951
"Citizens Telephone Company of Hammond NY, Inc.",8568,8559
City of Barnesville Municipal Telephone,1317,1317
City of Brookings Telephone Fund,2116,2116
City of Brookings Telephone Fund,10261,10261
City of Faith Municipal Telephone Company,226,105
City of Ketchikan,7784,7784
City of Ketchikan,7844,7844
City of Ketchikan,18,18
City of Scottsburg,4295,4295
City of Scottsburg,10139,10115
City of Wadsworth,9048,9048
City of Wadsworth,3386,3537
City of Windom,2655,2655
"Clarence Telephone Company, Inc.",2549,2549
Clarksville Mutual Telephone Company,324,324
"Clay County Rural Telephone Cooperative, Inc.",31468,31468
Clear Creek Mutual Telephone Company,77,77
Clear Creek Mutual Telephone Company,3703,3703
Clear Creek Mutual Telephone Company,232,232
Clear Lake Independent Telephone Company,9017,9017
"Clear Lake Telephone Company, Inc.",3818,4034
"Clear Rate Communications, LLC",0,135599
"Clear Rate Communications, LLC",0,204350
C-M-L Telephone Cooperative Association,1847,1847
Coast Communications Co. Inc.,7787,7787
Coast Communications Co. Inc.,2,3
Cochrane Cooperative Telephone Company,3018,761
"Coleman County Telephone Cooperative, Inc.",572,572
"Coleman County Telephone Cooperative, Inc.",3626,3626
"Coleman County Telephone Cooperative, Inc.",3415,3415
"Coleman County Telephone Cooperative, Inc.",7647,7647
"Coleman County Telephone Cooperative, Inc.",41,41
COLI Inc.,2572,2572
COLI Inc.,9991,9991
COLI Inc.,38843,38843
Colo Telephone Company,1855,1855
"Colorado Valley Telephone Cooperative, Inc.",3486,3486
"Colorado Valley Telephone Cooperative, Inc.",13409,13409
"Colorado Valley Telephone Cooperative, Inc.",7906,7906
"Colorado Valley Telephone Cooperative, Inc.",9639,9639
Colton Telephone Company,1160,121
Columbus Telephone Company,6473,6473
TOTE Holdings LLC,191,191
TOTE Holdings LLC,6591,6591
TOTE Holdings LLC,24693,24693
"Combined Technologies, Inc.",195,75
Comcast Corporation,56876189,56877799
Comcast Corporation,1413220,1955013
"Communications 1 Network, Inc.",11701,11701
"Community Antenna Service, Inc.",35682,3003
Community Internet Service,1141,0
"Community Telephone Co., Inc.",28249,28249
"Community Telephone Co., Inc.",5337,5337
"Community Telephone Co., Inc.",8216,8216
"Computer Sales & Services, Inc.",4,50
"Consolidated Communications, Inc.",1,0
"Consolidated Communications, Inc.",959209,136865
"Consolidated Communications, Inc.",2623,255
"Consolidated Communications, Inc.",1144335,92650
Consolidated Telcom,4662,4662
Consolidated Telcom,24962,24962
Consolidated Telephone Company,1001,1001
Consolidated Telephone Company,44650,44650
Conway Corporation,29611,29611
Conway Corporation,2241,2241
"Coon Valley Cooperative Telephone Association, Inc.",1783,1783
"Coon Valley Cooperative Telephone Association, Inc.",1488,1488
Coon Valley Farmers Telephone Company,4839,4839
Cooperative Telephone Company,3193,3193
Cooperative Telephone Exchange,801,801
Copper Valley Telephone Cooperative,2371,2371
Copper Valley Telephone Cooperative,5139,5139
Copper Valley Telephone Cooperative,10,10
Copper Valley Telephone Cooperative,9,9
"Cordova Telephone Cooperative, Inc.",1223,1223
"Cordova Telephone Cooperative, Inc.",35,35
Corn Belt Telephone Company,4013,4013
Corn Belt Telephone Company,71,71
"Cox Communications, Inc.",4,0
"Cox Communications, Inc.",9154718,1761023
"Cox Communications, Inc.",796012,496530
"Cox Communications, Inc.",1012,70
"Cox Communications, Inc.",5559,1030
Cozad Telephone Company,43,43
Cozad Telephone Company,3001,3001
"CP-Tel Holdings, Inc.",3510,1072
"CP-Tel Holdings, Inc.",9083,3074
"Craigville Telephone Company, Inc.",372,338
"Craigville Telephone Company, Inc.",6410,6410
Craw-Kan Telephone Cooperative Inc.,3816,3816
Craw-Kan Telephone Cooperative Inc.,37460,37460
"Crossville Consolidated Communications, Inc.",658,658
Crown Point Telephone Corporation,8,0
Crown Point Telephone Corporation,2608,742
Altice USA,8286984,2193622
Altice USA,3687292,11729914
Cumberland Telephone Company,1327,1327
"Cumby Telephone Cooperative, Inc.",3063,3063
"Cumby Telephone Cooperative, Inc.",6553,7753
Custer Telephone Cooperative Inc.,564,45
Custer Telephone Cooperative Inc.,1503,124
Custer Telephone Cooperative Inc.,2297,598
Custer Telephone Cooperative Inc.,492,32
Grayson Collin Electric Cooperative,3662,3662
Grayson Collin Electric Cooperative,15782,15782
"D & P Communications, Inc.",17,6
"D & P Communications, Inc.",11034,3106
"D & P Communications, Inc.",16014,3451
"D & P Communications, Inc.",534,20
"D D & B, Inc.",6026,6026
"D D & B, Inc.",9896,9896
Dakota Central Telecommunications Cooperative,17163,17163
Danville Mutual Telephone Company,1802,1802
"Darien Telephone Company, Inc.",4767,4767
"Darien Telephone Company, Inc.",2918,2918
Daviess-Martin County Rural Telephone Corporation,1087,1087
Daviess-Martin County Rural Telephone Corporation,18672,18672
"Decatur Holding Company, Inc.",225,210
"Decatur Holding Company, Inc.",3077,2707
"DeKalb Telephone Cooperative, Inc.",126,126
"DeKalb Telephone Cooperative, Inc.",32595,33235
Delcambre Telephone Co.,2163,2163
Delhi Telephone Company,117,117
Delhi Telephone Company,14425,14425
"Dell Telephone Cooperative, Inc.",637,637
"Dell Telephone Cooperative, Inc.",818,818
"Dell Telephone Cooperative, Inc.",21844,21844
"T-Mobile USA, Inc.",22776,0
"T-Mobile USA, Inc.",109000418,117360810
"T-Mobile USA, Inc.",1,0
Dickey Rural Telephone Cooperative,20576,20576
Doylestown Telephone Company,4126,4126
Doylestown Telephone Company,4068,4068
Doylestown Telephone Company,6315,6315
Dumont Telephone Company,3964,3964
"Dunbarton Telephone Company, Inc.",1532,1532
Dunkerton Telephone Cooperative,953,953
Duo County Telephone Cooperative Inc.,2504,2504
Duo County Telephone Cooperative Inc.,4175,4958
Duo County Telephone Cooperative Inc.,23299,23299
"Dobson Technologies, Inc.",14229,14229
"Dobson Technologies, Inc.",207080,207080
"E. Ritter Communications Holdings, Inc.",36156,31870
"E. Ritter Communications Holdings, Inc.",57113,57113
"E. Ritter Communications Holdings, Inc.",95881,225791
"Eagle Telephone Systems, Inc.",21,21
"Eagle Telephone Systems, Inc.",420,420
EATEL Corp.,19222,19222
EATEL Corp.,100246,100246
East Buchanan Telephone Cooperative,2638,2638
"Eastern Indiana WIFI, Inc.",138,138
"Eastern Indiana WIFI, Inc.",3821,3799
"Eastern Indiana WIFI, Inc.",5735,5724
"Eastern Slope Rural Telephone Association, Inc.",2140,2140
"Eastern Slope Rural Telephone Association, Inc.",5578,5578
"Eastex Telephone Cooperative, Inc.",4029,4029
"Eastex Telephone Cooperative, Inc.",46646,46646
Egyptian Telephone Cooperative Association,787,277
Egyptian Telephone Cooperative Association,2014,685
Electric and Water Plant Board of the City of Frankfort,27161,27161
Electric and Water Plant Board of the City of Frankfort,26006,26006
"Electric Plant Board of the City of Glasgow, KY",2719,2719
"Electric Plant Board of the City of Glasgow, KY",6419,6419
Ellington Telephone Company,557,557
Ellington Telephone Company,1663,1663
Ellsworth Cooperative Telephone Association,839,839
Emery Telcom,6292,6292
Emery Telcom,27362,27362
Emery Telcom,212,212
Emily Cooperative Telephone Company,5905,5905
Empire Telephone Corporation/North Penn Telephone Company,1936,76
Empire Telephone Corporation/North Penn Telephone Company,195423,12994
"ENMR Telephone Cooperative, Inc.",348,348
"ENMR Telephone Cooperative, Inc.",64593,64593
"ENMR Telephone Cooperative, Inc.",91545,91545
Epic Touch Company,1295,1295
"Etex Telephone Cooperative, Inc.",11889,11889
"Etex Telephone Cooperative, Inc.",31692,31692
"F&B Communications, Inc.",3107,3107
Farmers Cooperative Telephone Company-Dysart,291,291
Farmers Cooperative Telephone Company-Dysart,1158,1158
Farmers Independent Telephone Company,885,885
Farmers Independent Telephone Company,639,639
Farmers Independent Telephone Company,3982,3982
Farmers Mutual Cooperative Telephone Company-Harlan,4043,4043
Farmers Mutual Cooperative Telephone Company-Moulton,2499,2499
Farmers Mutual Telephone Company (ID),24,24
Farmers Mutual Telephone Company (ID),4932,4932
Farmers Mutual Telephone Company (ID),4793,4793
Farmers Mutual Telephone Company (ID),2008,2008
Farmers Mutual Telephone Company (OH),944,459
Farmers Mutual Telephone Company (OH),38560,37228
"Farmers Mutual Telephone Company of Stanton, Iowa",7722,7722
Farmers Mutual Telephone Company-Jesup,4,4
Farmers Mutual Telephone Company-Jesup,2355,2355
Farmers Mutual Telephone Company-Nora Springs,17247,17247
Farmers Mutual Telephone Cooperative of Shellsburg,2594,2594
Farmers Mutual Telephone Cooperative of Shellsburg,10644,10644
"Farmers Telephone Company, Inc.",171,171
"Farmers Telephone Company, Inc.",207,207
"Farmers Telephone Company, Inc.",1234,1234
Farmers Telephone Company-Batavia,698,698
Farmers Telephone Company-Essex,910,910
Farmers Telephone Company-Essex,10017,10017
"Farmers Telephone Cooperative, Inc. (SC)",27809,27809
"Farmers Telephone Cooperative, Inc. (SC)",78235,78235
"Farmers Telephone Cooperative, Inc. (SC)",4699,4699
Fayetteville Public Utilities,7574,1938
Fayetteville Public Utilities,4935,829
FDF Communications Co.,3269,3269
FDF Communications Co.,3722,3722
FDF Communications Co.,51933,0
Farmers Mutual Telephone Company (MN),5296,5298
Fenton Cooperative Telephone Company,320,77
"First Communications, LLC",0,592
"First Communications, LLC",0,293
"First Step Internet, LLC",1035,744
"First Step Internet, LLC",81613,26202
"First Step Internet, LLC",30,29
"Five Area Telephone Cooperative, Inc.",7724,7724
"Five Area Telephone Cooperative, Inc.",778,778
"Flat Rock Telephone Co-Op, Inc.",1112,1112
"Foothills Rural Telephone Cooperative Corporation, Inc.",31349,31349
"Fort Mojave Telecommunications, Inc.",3468,3468
"Fort Mojave Telecommunications, Inc.",690,690
Waldron Communication Company,631,631
Waldron Communication Company,94,94
"Franklin Telephone Co., Inc.",1048,1048
"Franklin Telephone Co., Inc.",1028,1028
"Ganado Telephone Company, Inc.",1763,1763
"Ganado Telephone Company, Inc.",5677,5677
"Ganado Telephone Company, Inc.",577,577
Garden Valley Telephone Company,64,64
Garden Valley Telephone Company,26876,26876
Gardonville Cooperative Telephone Association,1195,1195
Gardonville Cooperative Telephone Association,6730,6730
Gardonville Cooperative Telephone Association,47,32
Gardonville Cooperative Telephone Association,268,10
Gardonville Cooperative Telephone Association,541,92
"Gargoyle Technologies, Inc.",7463,7463
"Gargoyle Technologies, Inc.",10965,10965
Geetingsville Telephone Company Inc.,91,91
Geetingsville Telephone Company Inc.,1026,1026
Geetingsville Telephone Company Inc.,423,423
Geetingsville Telephone Company Inc.,1722,1722
GCI Holdings LLC,7237,7237
GCI Holdings LLC,254553,254553
GCI Holdings LLC,5046,5046
GCI Holdings LLC,11224,11224
"Geneseo Communications, Inc.",6463,6463
"Geneseo Communications, Inc.",56275,56275
"Geneseo Communications, Inc.",3316,3316
"Germantown Telephone Company, Inc.",5457,732
Gervais Telephone Company,49,49
Gervais Telephone Company,4772,4772
GEUS,8956,2070
GEUS,0,3
"Gila River Telecommunications, Inc.",312,312
"Gila River Telecommunications, Inc.",2563,2563
"Glandorf Telephone Co., Inc.",2861,615
Glasford Telephone Company,1476,1476
Glenwood Telephone Company,824,824
Glenwood Telephone Company,2406,2406
Glenwood Telephone Membership Corp.,17159,17159
Glenwood Telephone Membership Corp.,23554,23554
"Golden West Telecommunications Cooperative, Inc.",5795,5795
"Golden West Telecommunications Cooperative, Inc.",2990,2990
"Golden West Telecommunications Cooperative, Inc.",48478,48478
"Golden Wheat, Inc.",3587,3587
Gonthier Inc.,3935,838
Gonthier Inc.,238,38
Gonthier Inc.,312,52
"Gorham Communications, Inc.",878,878
"Grafton Communications, Inc.",5771,5771
"Grafton Communications, Inc.",3133,3133
Granby Telephone Company,3705,3705
Grand Mound Cooperative Telephone Association,1885,1885
Grand Mound Cooperative Telephone Association,372,372
Grand Mound Cooperative Telephone Association,10722,10722
Grand River Mutual Telephone Corporation,976,976
Grand River Mutual Telephone Corporation,27694,27694
Grand Telephone Company,3292,3292
Grand Telephone Company,2137,2137
Grandview Mutual Telephone Company,127,127
Grauer Management Inc.,3089,3089
"Great Plains Communications, Inc.",24787,24787
"Great Plains Communications, Inc.",15814,15814
"Great Plains Communications, Inc.",90436,90436
Griswold Cooperative Telephone Company,2242,2242
"Guadalupe Valley Telephone Cooperative, Inc.",46946,46946
"Guadalupe Valley Telephone Cooperative, Inc.",15325,15325
"Guadalupe Valley Telephone Cooperative, Inc.",83343,83343
Gunnison Telephone Company,1895,419
Gunnison Telephone Company,151,41
Gunnison Telephone Company,1445,291
Gunnison Telephone Company,437,119
H&B Enterprises Inc.,5273,5273
H&B Enterprises Inc.,115,121
Halstad Telephone Company,5858,5858
Hamilton County Telephone Co-Op,2442,2442
Hamilton County Telephone Co-Op,23375,23375
Hamilton County Telephone Co-Op,241,241
Hancock Rural Telephone Corporation,1161,1161
Hancock Rural Telephone Corporation,36920,38850
"Hardy Telecommunications, Inc.",2446,2446
"Hardy Telecommunications, Inc.",11668,11668
"Hardy Telecommunications, Inc.",5309,5309
Harmony Telephone Company,3868,3868
Harmony Telephone Company,5700,5700
"Hartington Telecommunications Co., Inc.",2633,2633
Hawkeye Telephone Company,5298,5298
"Hayneville Holding Company, Inc.",5793,5793
"Hayneville Holding Company, Inc.",7877,7877
Heart of Iowa Communications Cooperative,9780,9780
Heart of Iowa Communications Cooperative,23,23
Hemingford Cooperative Telephone Company,3315,3315
Henderson Cooperative Telephone Company,1021,1021
"Henry County Communications, Inc.",1637,1637
"Henry County Communications, Inc.",1145,1145
"Henry County Communications, Inc.",1254,1254
Hershey Cooperative Telephone Company,1060,1060
Hershey Cooperative Telephone Company,2908,2908
"Hiawatha Broadband Communications, Inc.",10628,10628
"Hiawatha Broadband Communications, Inc.",34175,34175
"Hiawatha Broadband Communications, Inc.",58463,58463
"Hiawatha Communications, Inc.",6711,6711
"Hiawatha Communications, Inc.",12430,12430
"Hickory Utility Services, Inc.",7999,7999
Highland Telephone Cooperative (VA),50,50
Highland Telephone Cooperative (VA),1415,1415
"Hill Country Telephone Cooperative, Inc.",20248,20248
"Hill Country Telephone Cooperative, Inc.",24713,24713
"Hill Country Telephone Cooperative, Inc.",16716,14586
"Hill Country Telephone Cooperative, Inc.",15025,15025
"Hillsboro Telephone Company, Inc.",3829,3829
Hinton Holding Company,4012,4012
Hinton Holding Company,3532,3532
Hinton Holding Company,18860,18860
"Home Enterprises, Inc.",4353,4353
"Home Telephone Company, Inc. (SC)",278,278
"Home Telephone Company, Inc. (SC)",14483,14483
"Home Telephone Company, Inc. (SC)",65446,65446
The Chillicothe Telephone Co,20634,20634
The Chillicothe Telephone Co,35273,35273
"Horry Telephone Cooperative, Inc.",13442,13442
"Horry Telephone Cooperative, Inc.",20348,20348
"Horry Telephone Cooperative, Inc.",200543,200543
Hot Springs Telephone Company,662,662
Hot Springs Telephone Company,444,444
Hot Springs Telephone Company,970,970
"Hotwire Communications, Ltd.",2663,1180
"Hotwire Communications, Ltd.",322355,163695
HTC Holding Co.,23346,23346
HTC Holding Co.,7517,7517
HTC Holding Co.,820,820
Hubbard Cooperative Telephone Association,917,917
EchoStar Corporation,164142033,164142033
Huxley Communications Cooperative,8762,1436
"IAMO Communications, Inc.",3488,3488
"IAMO Communications, Inc.",36,36
